"","Site","Well","Signal","Value","Experiment","Leaf"
"203","1;2","F3","mScarlet",333,"AT3G07160","Set1_Leaf_F"
"204","1;2","F3","YB_Ratio",28.1858407079646,"AT3G07160","Set1_Leaf_F"
"205","1;2","F4","yfp",1913,"AT3G07160","Set1_Leaf_F"
"206","1;2","F4","mTurquoise",139,"AT3G07160","Set1_Leaf_F"
"207","1;2","F4","mScarlet",295,"AT3G07160","Set1_Leaf_F"
"208","1;2","F4","YB_Ratio",13.7625899280576,"AT3G07160","Set1_Leaf_F"
"209","1;2","F5","yfp",3271,"AT1G54080","Set1_Leaf_F"
"210","1;2","F5","mTurquoise",52,"AT1G54080","Set1_Leaf_F"
"211","1;2","F5","mScarlet",1052,"AT1G54080","Set1_Leaf_F"
"212","1;2","F5","YB_Ratio",62.9038461538462,"AT1G54080","Set1_Leaf_F"
"213","1;2","F6","yfp",1968,"AT1G54080","Set1_Leaf_F"
"214","1;2","F6","mTurquoise",44,"AT1G54080","Set1_Leaf_F"
"215","1;2","F6","mScarlet",447,"AT1G54080","Set1_Leaf_F"
"216","1;2","F6","YB_Ratio",44.7272727272727,"AT1G54080","Set1_Leaf_F"
"217","1;2","F7","yfp",1953,"Null_YFP","Set1_Leaf_F"
"218","1;2","F7","mTurquoise",399,"Null_YFP","Set1_Leaf_F"
"219","1;2","F7","mScarlet",380,"Null_YFP","Set1_Leaf_F"
"220","1;2","F7","YB_Ratio",4.89473684210526,"Null_YFP","Set1_Leaf_F"
"221","1;2","F8","yfp",1952,"Null_YFP","Set1_Leaf_F"
"222","1;2","F8","mTurquoise",293,"Null_YFP","Set1_Leaf_F"
"223","1;2","F8","mScarlet",372,"Null_YFP","Set1_Leaf_F"
"224","1;2","F8","YB_Ratio",6.66211604095563,"Null_YFP","Set1_Leaf_F"
"225","1;2","G1","yfp",2227,"AT2G33730","Set1_Leaf_G"
"226","1;2","G1","mTurquoise",101,"AT2G33730","Set1_Leaf_G"
"227","1;2","G1","mScarlet",360,"AT2G33730","Set1_Leaf_G"
"228","1;2","G1","YB_Ratio",22.049504950495,"AT2G33730","Set1_Leaf_G"
"229","1;2","G2","yfp",1769,"AT2G33730","Set1_Leaf_G"
"230","1;2","G2","mTurquoise",56,"AT2G33730","Set1_Leaf_G"
"231","1;2","G2","mScarlet",285,"AT2G33730","Set1_Leaf_G"
"232","1;2","G2","YB_Ratio",31.5892857142857,"AT2G33730","Set1_Leaf_G"
"233","1;2","G3","yfp",1678,"AT4G13780","Set1_Leaf_G"
"234","1;2","G3","mTurquoise",76,"AT4G13780","Set1_Leaf_G"
"235","1;2","G3","mScarlet",354,"AT4G13780","Set1_Leaf_G"
"236","1;2","G3","YB_Ratio",22.0789473684211,"AT4G13780","Set1_Leaf_G"
"237","1;2","G4","yfp",1644,"AT4G13780","Set1_Leaf_G"
"238","1;2","G4","mTurquoise",42,"AT4G13780","Set1_Leaf_G"
"239","1;2","G4","mScarlet",309,"AT4G13780","Set1_Leaf_G"
"240","1;2","G4","YB_Ratio",39.1428571428571,"AT4G13780","Set1_Leaf_G"
"241","1;2","G5","yfp",2137,"AT3G08530","Set1_Leaf_G"
"242","1;2","G5","mTurquoise",84,"AT3G08530","Set1_Leaf_G"
"243","1;2","G5","mScarlet",346,"AT3G08530","Set1_Leaf_G"
"244","1;2","G5","YB_Ratio",25.4404761904762,"AT3G08530","Set1_Leaf_G"
"245","1;2","G6","yfp",1891,"AT3G08530","Set1_Leaf_G"
"246","1;2","G6","mTurquoise",63,"AT3G08530","Set1_Leaf_G"
"247","1;2","G6","mScarlet",308,"AT3G08530","Set1_Leaf_G"
"248","1;2","G6","YB_Ratio",30.015873015873,"AT3G08530","Set1_Leaf_G"
"249","1;2","G7","yfp",1758,"Null_YFP","Set1_Leaf_G"
"250","1;2","G7","mTurquoise",206,"Null_YFP","Set1_Leaf_G"
"251","1;2","G7","mScarlet",309,"Null_YFP","Set1_Leaf_G"
"252","1;2","G7","YB_Ratio",8.53398058252427,"Null_YFP","Set1_Leaf_G"
"253","1;2","G8","yfp",1750,"Null_YFP","Set1_Leaf_G"
"254","1;2","G8","mTurquoise",77,"Null_YFP","Set1_Leaf_G"
"255","1;2","G8","mScarlet",303,"Null_YFP","Set1_Leaf_G"
"256","1;2","G8","YB_Ratio",22.7272727272727,"Null_YFP","Set1_Leaf_G"
"257","1;2","H1","yfp",1771,"AT2G33730","Set1_Leaf_H"
"258","1;2","H1","mTurquoise",74,"AT2G33730","Set1_Leaf_H"
"259","1;2","H1","mScarlet",298,"AT2G33730","Set1_Leaf_H"
"260","1;2","H1","YB_Ratio",23.9324324324324,"AT2G33730","Set1_Leaf_H"
"261","1;2","H2","yfp",1981,"AT2G33730","Set1_Leaf_H"
"262","1;2","H2","mTurquoise",116,"AT2G33730","Set1_Leaf_H"
"263","1;2","H2","mScarlet",351,"AT2G33730","Set1_Leaf_H"
"264","1;2","H2","YB_Ratio",17.0775862068966,"AT2G33730","Set1_Leaf_H"
"265","1;2","H3","yfp",1801,"AT4G13780","Set1_Leaf_H"
"266","1;2","H3","mTurquoise",99,"AT4G13780","Set1_Leaf_H"
"267","1;2","H3","mScarlet",329,"AT4G13780","Set1_Leaf_H"
"268","1;2","H3","YB_Ratio",18.1919191919192,"AT4G13780","Set1_Leaf_H"
"269","1;2","H4","yfp",1777,"AT4G13780","Set1_Leaf_H"
"270","1;2","H4","mTurquoise",73,"AT4G13780","Set1_Leaf_H"
"271","1;2","H4","mScarlet",372,"AT4G13780","Set1_Leaf_H"
"272","1;2","H4","YB_Ratio",24.3424657534247,"AT4G13780","Set1_Leaf_H"
"273","1;2","H5","yfp",2043,"AT3G08530","Set1_Leaf_H"
"274","1;2","H5","mTurquoise",240,"AT3G08530","Set1_Leaf_H"
"275","1;2","H5","mScarlet",312,"AT3G08530","Set1_Leaf_H"
"276","1;2","H5","YB_Ratio",8.5125,"AT3G08530","Set1_Leaf_H"
"277","1;2","H6","yfp",2842,"AT3G08530","Set1_Leaf_H"
"278","1;2","H6","mTurquoise",244,"AT3G08530","Set1_Leaf_H"
"279","1;2","H6","mScarlet",321,"AT3G08530","Set1_Leaf_H"
"280","1;2","H6","YB_Ratio",11.6475409836066,"AT3G08530","Set1_Leaf_H"
"281","1;2","H7","yfp",1599,"Null_YFP","Set1_Leaf_H"
"282","1;2","H7","mTurquoise",198,"Null_YFP","Set1_Leaf_H"
"283","1;2","H7","mScarlet",376,"Null_YFP","Set1_Leaf_H"
"284","1;2","H7","YB_Ratio",8.07575757575758,"Null_YFP","Set1_Leaf_H"
"285","1;2","H8","yfp",1702,"Null_YFP","Set1_Leaf_H"
"286","1;2","H8","mTurquoise",153,"Null_YFP","Set1_Leaf_H"
"287","1;2","H8","mScarlet",299,"Null_YFP","Set1_Leaf_H"
"288","1;2","H8","YB_Ratio",11.1241830065359,"Null_YFP","Set1_Leaf_H"
"289","1;3","A1","yfp",2386,"AT2G29080","Set1_Leaf_A"
"290","1;3","A1","mTurquoise",111,"AT2G29080","Set1_Leaf_A"
"291","1;3","A1","mScarlet",502,"AT2G29080","Set1_Leaf_A"
"292","1;3","A1","YB_Ratio",21.4954954954955,"AT2G29080","Set1_Leaf_A"
"293","1;3","A2","yfp",1926,"AT2G29080","Set1_Leaf_A"
"294","1;3","A2","mTurquoise",61,"AT2G29080","Set1_Leaf_A"
"295","1;3","A2","mScarlet",350,"AT2G29080","Set1_Leaf_A"
"296","1;3","A2","YB_Ratio",31.5737704918033,"AT2G29080","Set1_Leaf_A"
"297","1;3","A3","yfp",2487,"AT1G64550","Set1_Leaf_A"
"298","1;3","A3","mTurquoise",106,"AT1G64550","Set1_Leaf_A"
"299","1;3","A3","mScarlet",391,"AT1G64550","Set1_Leaf_A"
"300","1;3","A3","YB_Ratio",23.4622641509434,"AT1G64550","Set1_Leaf_A"
"301","1;3","A4","yfp",2734,"AT1G64550","Set1_Leaf_A"
"302","1;3","A4","mTurquoise",150,"AT1G64550","Set1_Leaf_A"
"303","1;3","A4","mScarlet",409,"AT1G64550","Set1_Leaf_A"
"304","1;3","A4","YB_Ratio",18.2266666666667,"AT1G64550","Set1_Leaf_A"
"305","1;3","A5","yfp",2176,"AT5G06140","Set1_Leaf_A"
"306","1;3","A5","mTurquoise",313,"AT5G06140","Set1_Leaf_A"
"307","1;3","A5","mScarlet",349,"AT5G06140","Set1_Leaf_A"
"308","1;3","A5","YB_Ratio",6.95207667731629,"AT5G06140","Set1_Leaf_A"
"309","1;3","A6","yfp",1814,"AT5G06140","Set1_Leaf_A"
"310","1;3","A6","mTurquoise",171,"AT5G06140","Set1_Leaf_A"
"311","1;3","A6","mScarlet",301,"AT5G06140","Set1_Leaf_A"
"312","1;3","A6","YB_Ratio",10.6081871345029,"AT5G06140","Set1_Leaf_A"
"313","1;3","A7","yfp",1544,"Null_YFP","Set1_Leaf_A"
"314","1;3","A7","mTurquoise",314,"Null_YFP","Set1_Leaf_A"
"315","1;3","A7","mScarlet",300,"Null_YFP","Set1_Leaf_A"
"316","1;3","A7","YB_Ratio",4.9171974522293,"Null_YFP","Set1_Leaf_A"
"317","1;3","A8","yfp",1595,"Null_YFP","Set1_Leaf_A"
"318","1;3","A8","mTurquoise",346,"Null_YFP","Set1_Leaf_A"
"319","1;3","A8","mScarlet",298,"Null_YFP","Set1_Leaf_A"
"320","1;3","A8","YB_Ratio",4.60982658959538,"Null_YFP","Set1_Leaf_A"
"321","1;3","A9","yfp",1865,"AT2G33730","Set1_Leaf_I"
"322","1;3","A9","mTurquoise",58,"AT2G33730","Set1_Leaf_I"
"323","1;3","A9","mScarlet",342,"AT2G33730","Set1_Leaf_I"
"324","1;3","A9","YB_Ratio",32.1551724137931,"AT2G33730","Set1_Leaf_I"
"325","1;3","A10","yfp",1915,"AT2G33730","Set1_Leaf_I"
"326","1;3","A10","mTurquoise",64,"AT2G33730","Set1_Leaf_I"
"327","1;3","A10","mScarlet",314,"AT2G33730","Set1_Leaf_I"
"328","1;3","A10","YB_Ratio",29.921875,"AT2G33730","Set1_Leaf_I"
"329","1;3","A11","yfp",1751,"AT4G13780","Set1_Leaf_I"
