"","Site","Well","Signal","Value","Experiment","Leaf"
"167","1;2","D6","mScarlet",295,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
"168","1;2","D6","YB_Ratio",41.7608695652174,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
"169","1;2","D7","yfp",1544,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"170","1;2","D7","mTurquoise",43,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"171","1;2","D7","mScarlet",271,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"172","1;2","D7","YB_Ratio",35.906976744186,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"173","1;2","D8","yfp",1584,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"174","1;2","D8","mTurquoise",41,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"175","1;2","D8","mScarlet",259,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"176","1;2","D8","YB_Ratio",38.6341463414634,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_D"
"177","1;2","D9","yfp",1354,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"178","1;2","D9","mTurquoise",27,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"179","1;2","D9","mScarlet",208,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"180","1;2","D9","YB_Ratio",50.1481481481481,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"181","1;2","D10","yfp",1351,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"182","1;2","D10","mTurquoise",42,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"183","1;2","D10","mScarlet",341,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"184","1;2","D10","YB_Ratio",32.1666666666667,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_E"
"185","1;2","D11","yfp",1821,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
"186","1;2","D11","mTurquoise",49,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
"187","1;2","D11","mScarlet",278,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
"188","1;2","D11","YB_Ratio",37.1632653061224,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
"189","1;2","D12","yfp",2149,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
